fy,group,fte,basis,cite
2020-21,General Fund: 3000 Enterprise And Community Svcs,11.63,adopted,budget-fy2020-21-vol1 p118
2020-21,General Fund: TOTAL,5262.94,adopted,budget-fy2020-21-vol1 p118
2020-21,Total - all functions (district FTE),6627.00,actual-budgetary,tscc-review-fy2024 p3
2020-21,Total - all functions (district FTE),6627.00,actual-budgetary,tscc-review-fy2025 p3
2021,District Level Administration,4.00,actual-acfr,acfr-fy2025 p143
2021,Educational Assistants,640.10,actual-acfr,acfr-fy2025 p143
2021,Other Staff,2330.20,actual-acfr,acfr-fy2025 p143
2021,School Level Administration,174.50,actual-acfr,acfr-fy2025 p143
2021,Teachers,2749.20,actual-acfr,acfr-fy2025 p143
2021,Total FTE,5898.00,actual-acfr,acfr-fy2025 p143
2021-22,All Funds - 1000 Instruction,3479.27,adopted,budget-fy2021-22-vol1 p143
2021-22,All Funds - 1000 Instruction,3479.27,adopted,budget-fy2022-23-vol1 p141
2021-22,All Funds - 2000 Support Services,2488.88,adopted,budget-fy2021-22-vol1 p143
2021-22,All Funds - 2000 Support Services,2488.88,adopted,budget-fy2022-23-vol1 p141
2021-22,All Funds - 3000 Enterprise And Community Svcs,204.00,adopted,budget-fy2022-23-vol1 p141
2021-22,All Funds - 3000 Enterprise And Community Svcs,242.25,adopted,budget-fy2021-22-vol1 p143
2021-22,All Funds - 4000 Facilities Acquisition And Con,39.55,adopted,budget-fy2021-22-vol1 p143
2021-22,All Funds - 4000 Facilities Acquisition And Con,39.55,adopted,budget-fy2022-23-vol1 p141
2021-22,All Funds - Grand Total (FTE by Major Function and Employee Type),6211.70,actual-budgetary,budget-fy2023-24-vol1 p220
2021-22,All Funds - TOTAL,6211.70,adopted,budget-fy2022-23-vol1 p141
2021-22,All Funds - TOTAL,6249.95,adopted,budget-fy2021-22-vol1 p143
2021-22,All Funds - Total,6274.09,actual-budgetary,budget-fy2024-25-vol1 p222
2021-22,District Grand Total (FTE by Major Function and Employee Type),6211.70,adopted,budget-fy2022-23-vol1 p282
2021-22,District Grand Total (FTE by Major Function and Employee Type),6249.95,adopted,budget-fy2021-22-vol1 p290
2021-22,General Fund - 1000 Instruction,2966.61,adopted,budget-fy2021-22-vol1 p152
2021-22,General Fund - 1000 Instruction,2966.62,adopted,budget-fy2022-23-vol1 p150
2021-22,General Fund - 2000 Support Services,2157.26,adopted,budget-fy2021-22-vol1 p152
2021-22,General Fund - 2000 Support Services,2157.26,adopted,budget-fy2022-23-vol1 p150
2021-22,General Fund - 3000 Enterprise And Community Svcs,11.88,adopted,budget-fy2021-22-vol1 p152
2021-22,General Fund - 3000 Enterprise And Community Svcs,11.88,adopted,budget-fy2022-23-vol1 p150
2021-22,General Fund - TOTAL,5135.75,adopted,budget-fy2021-22-vol1 p152
2021-22,General Fund - TOTAL,5135.76,adopted,budget-fy2022-23-vol1 p150
2021-22,Total - all functions (district FTE),1114.00,actual-budgetary,tscc-annual-report-2024-25-general p28
2021-22,Total - all functions (district FTE),12101.00,actual-budgetary,tscc-annual-report-2024-25-general p28
2021-22,Total - all functions (district FTE),133.00,actual-budgetary,tscc-annual-report-2024-25-general p28
2021-22,Total - all functions (district FTE),1336.00,actual-budgetary,tscc-annual-report-2024-25-general p28
2021-22,Total - all functions (district FTE),1493.00,actual-budgetary,tscc-annual-report-2024-25-general p28
2021-22,Total - all functions (district FTE),355.00,actual-budgetary,tscc-annual-report-2024-25-general p28
2021-22,Total - all functions (district FTE),6212.00,actual-budgetary,tscc-review-fy2024 p3
2021-22,Total - all functions (district FTE),6212.00,actual-budgetary,tscc-review-fy2025 p3
2021-22,Total - all functions (district FTE),6274.00,actual-budgetary,tscc-annual-report-2024-25-general p28
2021-22,Total - all functions (district FTE),6274.00,actual-budgetary,tscc-annual-report-2024-25-summaries p83
