object_code,label,amount_k,fy,basis,doc_id,page,notes,fragment
1122,Non-Represented Staff,39886,2025-26,adopted,budget-fy2026-27-vol1,110,,fy2026-27
1122,Non-Represented Staff,39886,2025-26,approved,budget-fy2025-26-vol1,100,,fy2025-26
1122,Non-Represented Staff,39886,2025-26,proposed,budget-fy2025-26-vol1,100,,fy2025-26
113,Administrators,38740,2025-26,adopted,budget-fy2025-26-vol1,100,,fy2025-26
113,Administrators,38740,2025-26,adopted,budget-fy2026-27-vol1,110,,fy2026-27
113,Administrators,38740,2025-26,approved,budget-fy2025-26-vol1,100,,fy2025-26
113,Administrators,38740,2025-26,proposed,budget-fy2025-26-vol1,100,,fy2025-26
200,Associated Payroll Costs,248507,2025-26,adopted,budget-fy2025-26-vol1,100,,fy2025-26
200,Associated Payroll Costs,248507,2025-26,adopted,budget-fy2026-27-vol1,110,,fy2026-27
200,Associated Payroll Costs,248507,2025-26,approved,budget-fy2025-26-vol1,100,,fy2025-26
200,Associated Payroll Costs,248507,2025-26,proposed,budget-fy2025-26-vol1,100,,fy2025-26
300,Purchased Services,104835,2025-26,adopted,budget-fy2025-26-vol1,100,,fy2025-26
300,Purchased Services,104835,2025-26,adopted,budget-fy2026-27-vol1,110,,fy2026-27
300,Purchased Services,104835,2025-26,approved,budget-fy2025-26-vol1,100,,fy2025-26
300,Purchased Services,104835,2025-26,proposed,budget-fy2025-26-vol1,100,,fy2025-26
376520,Budgeted Ending Fund Balance,0,2025-26,adopted,budget-fy2025-26-vol1,100,,fy2025-26
376520,Budgeted Ending Fund Balance,0,2025-26,adopted,budget-fy2026-27-vol1,110,,fy2026-27
376520,Budgeted Ending Fund Balance,0,2025-26,approved,budget-fy2025-26-vol1,100,,fy2025-26
376520,Budgeted Ending Fund Balance,0,2025-26,proposed,budget-fy2025-26-vol1,100,,fy2025-26
400,Supplies and Materials,11674,2025-26,adopted,budget-fy2025-26-vol1,100,,fy2025-26
400,Supplies and Materials,11674,2025-26,adopted,budget-fy2026-27-vol1,110,,fy2026-27
400,Supplies and Materials,11674,2025-26,approved,budget-fy2025-26-vol1,100,,fy2025-26
400,Supplies and Materials,11674,2025-26,proposed,budget-fy2025-26-vol1,100,,fy2025-26
500,Capital Outlay,912,2025-26,adopted,budget-fy2025-26-vol1,100,,fy2025-26
500,Capital Outlay,912,2025-26,adopted,budget-fy2026-27-vol1,110,,fy2026-27
500,Capital Outlay,912,2025-26,approved,budget-fy2025-26-vol1,100,,fy2025-26
500,Capital Outlay,912,2025-26,proposed,budget-fy2025-26-vol1,100,,fy2025-26
581000,Operating Contingency,41179,2025-26,adopted,budget-fy2025-26-vol1,100,,fy2025-26
581000,Operating Contingency,41179,2025-26,adopted,budget-fy2026-27-vol1,110,,fy2026-27
581000,Operating Contingency,41179,2025-26,approved,budget-fy2025-26-vol1,100,,fy2025-26
581000,Operating Contingency,41179,2025-26,proposed,budget-fy2025-26-vol1,100,,fy2025-26
600,Other Objects,1349,2025-26,adopted,budget-fy2025-26-vol1,100,,fy2025-26
600,Other Objects,1349,2025-26,adopted,budget-fy2026-27-vol1,110,,fy2026-27
600,Other Objects,1349,2025-26,approved,budget-fy2025-26-vol1,100,,fy2025-26
600,Other Objects,1349,2025-26,proposed,budget-fy2025-26-vol1,100,,fy2025-26
700,Transfers,17176,2025-26,adopted,budget-fy2025-26-vol1,100,,fy2025-26
700,Transfers,17176,2025-26,adopted,budget-fy2026-27-vol1,110,,fy2026-27
700,Transfers,17176,2025-26,approved,budget-fy2025-26-vol1,100,,fy2025-26
700,Transfers,17176,2025-26,proposed,budget-fy2025-26-vol1,100,,fy2025-26
total,Total Requirements,868580,2025-26,adopted,budget-fy2025-26-vol1,100,,fy2025-26
total,Total Requirements,868580,2025-26,approved,budget-fy2025-26-vol1,100,,fy2025-26
total,Total Requirements,868580,2025-26,proposed,budget-fy2025-26-vol1,100,,fy2025-26
100,Other Salaries,24531,2026-27,adopted,budget-fy2026-27-vol1,110,,fy2026-27
111,Licensed Salaries,276175,2026-27,adopted,budget-fy2026-27-vol1,110,,fy2026-27
1121,Classified - Represented,65416,2026-27,adopted,budget-fy2026-27-vol1,110,,fy2026-27
1122,Non-Represented Staff,35185,2026-27,adopted,budget-fy2026-27-vol1,110,,fy2026-27
113,Administrators,33957,2026-27,adopted,budget-fy2026-27-vol1,110,,fy2026-27
200,Associated Payroll Costs,245251,2026-27,adopted,budget-fy2026-27-vol1,110,,fy2026-27
300,Purchased Services,110672,2026-27,adopted,budget-fy2026-27-vol1,110,,fy2026-27
376520,Budgeted Ending Fund Balance,0,2026-27,adopted,budget-fy2026-27-vol1,110,,fy2026-27
400,Supplies and Materials,12736,2026-27,adopted,budget-fy2026-27-vol1,110,,fy2026-27
500,Capital Outlay,1047,2026-27,adopted,budget-fy2026-27-vol1,110,,fy2026-27
581000,Operating Contingency,41056,2026-27,adopted,budget-fy2026-27-vol1,110,,fy2026-27
600,Other Objects,1332,2026-27,adopted,budget-fy2026-27-vol1,110,,fy2026-27
700,Transfers,14755,2026-27,adopted,budget-fy2026-27-vol1,110,,fy2026-27
