fund_name,resources_k,requirements_k,fy,basis,doc_id,page,notes,fragment
TOTAL ALL FUNDS,1491046,1491046,2018-19,actual-budgetary,budget-fy2022-23-vol1,140,"requirements from PDF p141 of same doc; 2020-21 resources total prints 2233098 vs requirements 2233100 (rounding); adopted total per Resolution 6520 p356 = $1,883,261,000",fy2022-23
Total District Budget (all funds),1500648.749,1500648.749,2018-19,proposed,budget-fy2018-19-book,62,,fy2018-19
Total District Budget (all funds),1506991.788,1506991.788,2018-19,adopted,budget-fy2018-19-book,62,,fy2018-19
Total District Budget (all funds),1506991.788,1506991.788,2018-19,approved,budget-fy2018-19-book,62,,fy2018-19
100 - General Fund,691767,691767,2019-20,revised,budget-fy2020-21-vol1,117,GF summary p.117 (resources) / p.118 (requirements),fy2020-21
201 - Student Body Activity Fund,13819,13819,2019-20,revised,budget-fy2020-21-vol1,134,,fy2020-21
202 - Cafeteria Fund,21596,21596,2019-20,revised,budget-fy2020-21-vol1,137,,fy2020-21
205 - Grants Fund,67526,67526,2019-20,revised,budget-fy2020-21-vol1,141,,fy2020-21
225 - PERS Rate Stabilization Reserve Fund,18275,18275,2019-20,revised,budget-fy2020-21-vol1,151,,fy2020-21
251 - Student Investment Account Fund,0,0,2019-20,revised,budget-fy2020-21-vol1,154,new fund in 2020-21 (Student Success Act / SIA); prior years printed as '-'; printed as '-',fy2020-21
299 - Dedicated Resource Fund,16193,16193,2019-20,revised,budget-fy2020-21-vol1,158,,fy2020-21
307 - IT Projects Debt Service Fund,0,0,2019-20,revised,budget-fy2020-21-vol1,175,2019-20 onward printed as '-' (no remaining budget); printed as '-',fy2020-21
308 - PERS UAL Debt Service Fund,52997,52997,2019-20,revised,budget-fy2020-21-vol1,178,,fy2020-21
320 - Full Faith and Credit Debt Service Fund,1828,1828,2019-20,revised,budget-fy2020-21-vol1,181,,fy2020-21
350 - GO Bonds Debt Service Fund,134057,134057,2019-20,revised,budget-fy2020-21-vol1,184,,fy2020-21
404 - Construction Excise Fund,19541,19541,2019-20,revised,budget-fy2020-21-vol1,191,,fy2020-21
407 - IT System Project Fund,8,8,2019-20,revised,budget-fy2020-21-vol1,195,2020-21 printed as '-',fy2020-21
420 - Full Faith and Credit Fund,3292,3292,2019-20,revised,budget-fy2020-21-vol1,198,,fy2020-21
435 - Energy Efficient Schools Fund,2705,2705,2019-20,revised,budget-fy2020-21-vol1,202,,fy2020-21
438 - Facilities Capital Fund,13608,13608,2019-20,revised,budget-fy2020-21-vol1,205,,fy2020-21
445 - Capital Asset Renewal Fund,6217,6217,2019-20,revised,budget-fy2020-21-vol1,209,,fy2020-21
450 - GO Bonds Fund,303450,303450,2019-20,revised,budget-fy2020-21-vol1,212,Approved/Adopted include $1.0B placeholder for possible Nov 2020 bond measure,fy2020-21
470 - Partnership Funds,500,500,2019-20,revised,budget-fy2020-21-vol1,217,,fy2020-21
601 - Self-Insurance Fund,12078,12078,2019-20,revised,budget-fy2020-21-vol1,228,,fy2020-21
All Funds Total,1376348,1376347,2019-20,proposed,budget-fy2019-20-book,73,"resources p73, requirements p74; res/req differ by rounding in 2019-20 columns per book's own rounding note",fy2019-20
All Funds Total,1379458,1379456,2019-20,adopted,budget-fy2019-20-book,73,"resources p73, requirements p74; res/req differ by rounding in 2019-20 columns per book's own rounding note",fy2019-20
All Funds Total,1379458,1379456,2019-20,approved,budget-fy2019-20-book,73,"resources p73, requirements p74; res/req differ by rounding in 2019-20 columns per book's own rounding note",fy2019-20
Cafeteria Fund (202),19764,19764,2019-20,actual-budgetary,budget-fy2022-23-vol1,169,,fy2022-23
Cafeteria Fund (202),19764,19764,2019-20,actual-budgetary,budget-fy2023-24-vol1,113,2021-22 resources 26237 vs requirements 26236 as printed (rounding),fy2023-24
Cafeteria Fund (202),21596,21596,2019-20,adopted,budget-fy2019-20-book,100,requirements totals also printed p101,fy2019-20
Cafeteria Fund (202),21596,21596,2019-20,approved,budget-fy2019-20-book,100,requirements totals also printed p101,fy2019-20
Cafeteria Fund (202),21596,21596,2019-20,proposed,budget-fy2019-20-book,100,requirements totals also printed p101,fy2019-20
Capital Asset Renewal Fund (445),17111,17110,2019-20,actual-budgetary,budget-fy2023-24-vol1,178,2019-20 resources 17111 vs requirements 17110 as printed (rounding),fy2023-24
Capital Asset Renewal Fund (445),17111,17111,2019-20,actual-budgetary,budget-fy2022-23-vol1,240,,fy2022-23
Capital Asset Renewal Fund (445),6217,6217,2019-20,adopted,budget-fy2019-20-book,151,,fy2019-20
Capital Asset Renewal Fund (445),6217,6217,2019-20,approved,budget-fy2019-20-book,151,,fy2019-20
Capital Asset Renewal Fund (445),6217,6217,2019-20,proposed,budget-fy2019-20-book,151,,fy2019-20
Capital Project Funds (400),876613,876613,2019-20,actual-budgetary,budget-fy2021-22-vol1,227,requirements from PDF p.229 of same doc,fy2021-22
Capital Projects Funds (400) [group total],876613,876613,2019-20,actual-budgetary,budget-fy2022-23-vol1,220,,fy2022-23
Capital Projects Funds (400) [group total],876613,876613,2019-20,actual-budgetary,budget-fy2023-24-vol1,157,"fund-group total, not additive with member funds below; p158 duplicate prints 2019-20 as 876615 (rounding)",fy2023-24
Capital Projects Funds (400),349321,349321,2019-20,adopted,budget-fy2019-20-book,134,"resources p134, requirements p135",fy2019-20
Capital Projects Funds (400),349321,349321,2019-20,approved,budget-fy2019-20-book,134,"resources p134, requirements p135",fy2019-20
Capital Projects Funds (400),349821,349821,2019-20,proposed,budget-fy2019-20-book,134,"resources p134, requirements p135",fy2019-20
Construction Excise Fund (404),17423,17423,2019-20,actual-budgetary,budget-fy2022-23-vol1,224,,fy2022-23
Construction Excise Fund (404),17423,17423,2019-20,actual-budgetary,budget-fy2023-24-vol1,160,,fy2023-24
Construction Excise Fund (404),19541,19541,2019-20,adopted,budget-fy2019-20-book,138,requirements totals also printed p139,fy2019-20
Construction Excise Fund (404),19541,19541,2019-20,approved,budget-fy2019-20-book,138,requirements totals also printed p139,fy2019-20
Construction Excise Fund (404),19541,19541,2019-20,proposed,budget-fy2019-20-book,138,requirements totals also printed p139,fy2019-20
Debt Service Funds (300) [group total],191557,191557,2019-20,actual-budgetary,budget-fy2023-24-vol1,141,"fund-group total, not additive with member funds below",fy2023-24
Debt Service Funds (300) [group total],191558,191557,2019-20,actual-budgetary,budget-fy2022-23-vol1,201,,fy2022-23
Debt Service Funds (300),188882,188882,2019-20,adopted,budget-fy2019-20-book,120,"resources p120, requirements p121",fy2019-20
Debt Service Funds (300),188882,188882,2019-20,approved,budget-fy2019-20-book,120,"resources p120, requirements p121",fy2019-20
Debt Service Funds (300),190393,190393,2019-20,proposed,budget-fy2019-20-book,120,"resources p120, requirements p121",fy2019-20
Debt Service Funds (300),191558,191557,2019-20,actual-budgetary,budget-fy2021-22-vol1,208,requirements from PDF p.209 of same doc,fy2021-22
Dedicated Resource Fund (299),16193,16193,2019-20,adopted,budget-fy2019-20-book,112,,fy2019-20
Dedicated Resource Fund (299),16193,16193,2019-20,approved,budget-fy2019-20-book,112,,fy2019-20
Dedicated Resource Fund (299),16193,16193,2019-20,proposed,budget-fy2019-20-book,112,,fy2019-20
Dedicated Resource Fund (299),18445,18445,2019-20,actual-budgetary,budget-fy2022-23-vol1,191,,fy2022-23
Dedicated Resource Fund (299),18446,18445,2019-20,actual-budgetary,budget-fy2023-24-vol1,134,2019-20 resources 18446 vs requirements 18445 as printed (rounding),fy2023-24
Energy Efficient Schools Fund (435),2705,2705,2019-20,adopted,budget-fy2019-20-book,146,,fy2019-20
Energy Efficient Schools Fund (435),2705,2705,2019-20,approved,budget-fy2019-20-book,146,,fy2019-20
Energy Efficient Schools Fund (435),2705,2705,2019-20,proposed,budget-fy2019-20-book,146,,fy2019-20
Energy Efficient Schools Fund (435),3372,3372,2019-20,actual-budgetary,budget-fy2022-23-vol1,234,,fy2022-23
Energy Efficient Schools Fund (435),3372,3372,2019-20,actual-budgetary,budget-fy2023-24-vol1,169,2021-22 resources 3631 vs requirements 3632 as printed (rounding),fy2023-24
Facilities Capital Fund (438),12956,12956,2019-20,actual-budgetary,budget-fy2022-23-vol1,237,,fy2022-23
Facilities Capital Fund (438),12956,12956,2019-20,actual-budgetary,budget-fy2023-24-vol1,175,,fy2023-24
Facilities Capital Fund (438),13608,13608,2019-20,adopted,budget-fy2019-20-book,148,requirements totals also printed p149,fy2019-20
Facilities Capital Fund (438),13608,13608,2019-20,approved,budget-fy2019-20-book,148,requirements totals also printed p149,fy2019-20
Facilities Capital Fund (438),14108,14108,2019-20,proposed,budget-fy2019-20-book,148,requirements totals also printed p149,fy2019-20
Full Faith and Credit Debt Service Fund (320),1828,1828,2019-20,actual-budgetary,budget-fy2022-23-vol1,214,,fy2022-23
Full Faith and Credit Debt Service Fund (320),1828,1828,2019-20,actual-budgetary,budget-fy2023-24-vol1,150,,fy2023-24
Full Faith and Credit Debt Service Fund (320),1828,1828,2019-20,adopted,budget-fy2019-20-book,130,,fy2019-20
Full Faith and Credit Debt Service Fund (320),1828,1828,2019-20,approved,budget-fy2019-20-book,130,,fy2019-20
Full Faith and Credit Debt Service Fund (320),1828,1828,2019-20,proposed,budget-fy2019-20-book,130,,fy2019-20
Full Faith and Credit Fund (420),3292,3292,2019-20,adopted,budget-fy2019-20-book,143,requirements totals also printed p144,fy2019-20
Full Faith and Credit Fund (420),3292,3292,2019-20,approved,budget-fy2019-20-book,143,requirements totals also printed p144,fy2019-20
Full Faith and Credit Fund (420),3292,3292,2019-20,proposed,budget-fy2019-20-book,143,requirements totals also printed p144,fy2019-20
Full Faith and Credit Fund (420),4173,4173,2019-20,actual-budgetary,budget-fy2022-23-vol1,231,,fy2022-23
Full Faith and Credit Fund (420),4173,4173,2019-20,actual-budgetary,budget-fy2023-24-vol1,166,,fy2023-24
General Fund (100),686647,686647,2019-20,proposed,budget-fy2019-20-book,82,"resources p82, requirements p83; approved/adopted res 691,769 vs req 691,767 is book rounding",fy2019-20
General Fund (100),691769,691767,2019-20,adopted,budget-fy2019-20-book,82,"resources p82, requirements p83; approved/adopted res 691,769 vs req 691,767 is book rounding",fy2019-20
General Fund (100),691769,691767,2019-20,approved,budget-fy2019-20-book,82,"resources p82, requirements p83; approved/adopted res 691,769 vs req 691,767 is book rounding",fy2019-20
General Fund (100),709092,709092,2019-20,actual-budgetary,budget-fy2022-23-vol1,149,,fy2022-23
General Fund (100),709092,709092,2019-20,actual-budgetary,budget-fy2023-24-vol1,98,"native unit thousands of dollars in source; 2022-23 column printed as 'Budget'; matches FY2022-23 book adopted total, so basis=adopted; resources total p98; requirements total p99; summary p94 prints proposed 823424 (rounding)",fy2023-24
General Fund (100),709093,709092,2019-20,actual-budgetary,budget-fy2021-22-vol1,151,requirements from PDF p.152 of same doc,fy2021-22
GO Bonds Debt Service Fund (350),134057,134057,2019-20,adopted,budget-fy2019-20-book,132,,fy2019-20
GO Bonds Debt Service Fund (350),134057,134057,2019-20,approved,budget-fy2019-20-book,132,,fy2019-20
GO Bonds Debt Service Fund (350),135568,135568,2019-20,proposed,budget-fy2019-20-book,132,,fy2019-20
GO Bonds Debt Service Fund (350),137615,137615,2019-20,actual-budgetary,budget-fy2022-23-vol1,217,,fy2022-23
GO Bonds Debt Service Fund (350),137615,137615,2019-20,actual-budgetary,budget-fy2023-24-vol1,153,,fy2023-24
GO Bonds Fund (450),303450,303450,2019-20,adopted,budget-fy2019-20-book,153,requirements totals also printed p154,fy2019-20
GO Bonds Fund (450),303450,303450,2019-20,approved,budget-fy2019-20-book,153,requirements totals also printed p154,fy2019-20
GO Bonds Fund (450),303450,303450,2019-20,proposed,budget-fy2019-20-book,153,requirements totals also printed p154,fy2019-20
GO Bonds Fund (450),821097,821097,2019-20,actual-budgetary,budget-fy2022-23-vol1,244,,fy2022-23
GO Bonds Fund (450),821097,821097,2019-20,actual-budgetary,budget-fy2023-24-vol1,182,2021-22 resources 748390 vs requirements 748391 as printed (rounding),fy2023-24
Grants Fund (205),67526,67525,2019-20,adopted,budget-fy2019-20-book,103,1k res/req rounding gap in 2019-20 columns,fy2019-20
Grants Fund (205),67526,67525,2019-20,approved,budget-fy2019-20-book,103,1k res/req rounding gap in 2019-20 columns,fy2019-20
Grants Fund (205),67526,67525,2019-20,proposed,budget-fy2019-20-book,103,1k res/req rounding gap in 2019-20 columns,fy2019-20
Grants Fund (205),70494,70494,2019-20,actual-budgetary,budget-fy2022-23-vol1,173,,fy2022-23
Grants Fund (205),70494,70494,2019-20,actual-budgetary,budget-fy2023-24-vol1,117,,fy2023-24
Harriet Tubman MS Relocation Fund (437),0,0,2019-20,actual-budgetary,budget-fy2023-24-vol1,172,new fund in 2023-24; budgeted as restricted grants/funds (see p194 category table),fy2023-24
Internal Service Funds (600) [group total],9066,9066,2019-20,actual-budgetary,budget-fy2022-23-vol1,257,,fy2022-23
Internal Service Funds (600) [group total],9066,9066,2019-20,actual-budgetary,budget-fy2023-24-vol1,196,"fund-group total, not additive with member fund below; 2022-23 resources 8646 vs requirements 8645 as printed",fy2023-24
Internal Service Funds (600),12078,12078,2019-20,adopted,budget-fy2019-20-book,162,"resources p162, requirements p163",fy2019-20
Internal Service Funds (600),12078,12078,2019-20,approved,budget-fy2019-20-book,162,"resources p162, requirements p163",fy2019-20
Internal Service Funds (600),12078,12078,2019-20,proposed,budget-fy2019-20-book,162,"resources p162, requirements p163",fy2019-20
Internal Service Funds (600),9067,9066,2019-20,actual-budgetary,budget-fy2021-22-vol1,266,"requirements from PDF p.268 of same doc; by-function summary p.267 (printed 260) still shows approved/adopted 8,552 - not updated for +13k contingency adjustment shown in Attachment A p.375",fy2021-22
IT Projects Debt Service Fund (307),0,0,2019-20,adopted,budget-fy2019-20-book,126,2019-20 columns printed as dash (fund winding down),fy2019-20
IT Projects Debt Service Fund (307),0,0,2019-20,approved,budget-fy2019-20-book,126,2019-20 columns printed as dash (fund winding down),fy2019-20
IT Projects Debt Service Fund (307),0,0,2019-20,proposed,budget-fy2019-20-book,126,2019-20 columns printed as dash (fund winding down),fy2019-20
IT System Project Fund (407),54,54,2019-20,actual-budgetary,budget-fy2022-23-vol1,228,,fy2022-23
IT System Project Fund (407),54,54,2019-20,actual-budgetary,budget-fy2023-24-vol1,164,dormant fund; no budget after 2019-20,fy2023-24
IT System Project Fund (407),8,8,2019-20,adopted,budget-fy2019-20-book,141,,fy2019-20
IT System Project Fund (407),8,8,2019-20,approved,budget-fy2019-20-book,141,,fy2019-20
IT System Project Fund (407),8,8,2019-20,proposed,budget-fy2019-20-book,141,,fy2019-20
Partnership Funds (470),428,428,2019-20,actual-budgetary,budget-fy2022-23-vol1,248,,fy2022-23
Partnership Funds (470),428,428,2019-20,actual-budgetary,budget-fy2023-24-vol1,186,dormant fund; no budget after 2019-20,fy2023-24
Partnership Funds (470),500,500,2019-20,adopted,budget-fy2019-20-book,156,2018-19 Budget column printed as dash,fy2019-20
Partnership Funds (470),500,500,2019-20,approved,budget-fy2019-20-book,156,2018-19 Budget column printed as dash,fy2019-20
Partnership Funds (470),500,500,2019-20,proposed,budget-fy2019-20-book,156,2018-19 Budget column printed as dash,fy2019-20
PERS Rate Stabilization Reserve Fund (225),18275,18275,2019-20,adopted,budget-fy2019-20-book,110,,fy2019-20
PERS Rate Stabilization Reserve Fund (225),18275,18275,2019-20,approved,budget-fy2019-20-book,110,,fy2019-20
PERS Rate Stabilization Reserve Fund (225),18275,18275,2019-20,proposed,budget-fy2019-20-book,110,,fy2019-20
PERS Rate Stabilization Reserve Fund (225),18666,18666,2019-20,actual-budgetary,budget-fy2022-23-vol1,184,,fy2022-23
PERS Rate Stabilization Reserve Fund (225),18666,18666,2019-20,actual-budgetary,budget-fy2023-24-vol1,127,,fy2023-24
PERS UAL Debt Service Fund (308),52114,52114,2019-20,actual-budgetary,budget-fy2022-23-vol1,211,,fy2022-23
PERS UAL Debt Service Fund (308),52114,52114,2019-20,actual-budgetary,budget-fy2023-24-vol1,147,,fy2023-24
PERS UAL Debt Service Fund (308),52997,52997,2019-20,adopted,budget-fy2019-20-book,128,,fy2019-20
PERS UAL Debt Service Fund (308),52997,52997,2019-20,approved,budget-fy2019-20-book,128,,fy2019-20
PERS UAL Debt Service Fund (308),52997,52997,2019-20,proposed,budget-fy2019-20-book,128,,fy2019-20
Self Insurance Fund (601),12078,12078,2019-20,adopted,budget-fy2019-20-book,166,identical to 600 summary: Self Insurance is the only Internal Service fund,fy2019-20
Self Insurance Fund (601),12078,12078,2019-20,approved,budget-fy2019-20-book,166,identical to 600 summary: Self Insurance is the only Internal Service fund,fy2019-20
Self Insurance Fund (601),12078,12078,2019-20,proposed,budget-fy2019-20-book,166,identical to 600 summary: Self Insurance is the only Internal Service fund,fy2019-20
Self Insurance Fund (601),9066,9066,2019-20,actual-budgetary,budget-fy2023-24-vol1,200,,fy2023-24
Self Insurance Fund (601),9067,9066,2019-20,actual-budgetary,budget-fy2022-23-vol1,261,,fy2022-23
Special Revenue Funds (200) [group total],137252,137252,2019-20,actual-budgetary,budget-fy2022-23-vol1,162,,fy2022-23
Special Revenue Funds (200) [group total],137252,137252,2019-20,actual-budgetary,budget-fy2023-24-vol1,108,"fund-group total, not additive with member funds below",fy2023-24
Special Revenue Funds (200),137253,137252,2019-20,actual-budgetary,budget-fy2021-22-vol1,165,requirements from PDF p.166 of same doc,fy2021-22
Special Revenue Funds (200),137409,137408,2019-20,adopted,budget-fy2019-20-book,94,"resources p94, requirements p95; 1k res/req rounding gap in 2019-20 columns",fy2019-20
Special Revenue Funds (200),137409,137408,2019-20,approved,budget-fy2019-20-book,94,"resources p94, requirements p95; 1k res/req rounding gap in 2019-20 columns",fy2019-20
Special Revenue Funds (200),137409,137408,2019-20,proposed,budget-fy2019-20-book,94,"resources p94, requirements p95; 1k res/req rounding gap in 2019-20 columns",fy2019-20
Student Body Activity Fund (201),13819,13819,2019-20,adopted,budget-fy2019-20-book,98,,fy2019-20
Student Body Activity Fund (201),13819,13819,2019-20,approved,budget-fy2019-20-book,98,,fy2019-20
Student Body Activity Fund (201),13819,13819,2019-20,proposed,budget-fy2019-20-book,98,,fy2019-20
Student Body Activity Fund (201),9882,9882,2019-20,actual-budgetary,budget-fy2022-23-vol1,166,,fy2022-23
Student Body Activity Fund (201),9882,9882,2019-20,actual-budgetary,budget-fy2023-24-vol1,110,,fy2023-24
Student Investment Account Fund (251),0,0,2019-20,actual-budgetary,budget-fy2023-24-vol1,130,,fy2023-24
TOTAL ALL FUNDS,1923579,1923579,2019-20,actual-budgetary,budget-fy2022-23-vol1,140,,fy2022-23
TOTAL ALL FUNDS,1923579,1923580,2019-20,actual-budgetary,budget-fy2021-22-vol1,142,"requirements from PDF p.143 of same doc; resolution 6323 (p.373) adopts total budget of $2,058,410,000",fy2021-22
TOTAL ALL FUNDS,1923580,1923580,2019-20,actual-budgetary,budget-fy2023-24-vol1,86,"resources p86, requirements p87 (2021-22 requirements printed 2425371)",fy2023-24
100 - General Fund,729654,729654,2020-21,adopted,budget-fy2020-21-vol1,117,GF summary p.117 (resources) / p.118 (requirements),fy2020-21
100 - General Fund,729654,729654,2020-21,approved,budget-fy2020-21-vol1,117,GF summary p.117 (resources) / p.118 (requirements),fy2020-21
100 - General Fund,729654,729654,2020-21,proposed,budget-fy2020-21-vol1,117,GF summary p.117 (resources) / p.118 (requirements),fy2020-21
201 - Student Body Activity Fund,13568,13568,2020-21,adopted,budget-fy2020-21-vol1,134,,fy2020-21
201 - Student Body Activity Fund,13568,13568,2020-21,approved,budget-fy2020-21-vol1,134,,fy2020-21
201 - Student Body Activity Fund,13568,13568,2020-21,proposed,budget-fy2020-21-vol1,134,,fy2020-21
202 - Cafeteria Fund,21559,21559,2020-21,adopted,budget-fy2020-21-vol1,137,,fy2020-21
202 - Cafeteria Fund,21559,21559,2020-21,approved,budget-fy2020-21-vol1,137,,fy2020-21
202 - Cafeteria Fund,21559,21559,2020-21,proposed,budget-fy2020-21-vol1,137,,fy2020-21
205 - Grants Fund,80856,80856,2020-21,adopted,budget-fy2020-21-vol1,141,,fy2020-21
205 - Grants Fund,80856,80856,2020-21,approved,budget-fy2020-21-vol1,141,,fy2020-21
205 - Grants Fund,80856,80856,2020-21,proposed,budget-fy2020-21-vol1,141,,fy2020-21
225 - PERS Rate Stabilization Reserve Fund,18940,18940,2020-21,adopted,budget-fy2020-21-vol1,151,,fy2020-21
225 - PERS Rate Stabilization Reserve Fund,18940,18940,2020-21,approved,budget-fy2020-21-vol1,151,,fy2020-21
225 - PERS Rate Stabilization Reserve Fund,18940,18940,2020-21,proposed,budget-fy2020-21-vol1,151,,fy2020-21
251 - Student Investment Account Fund,39162,39162,2020-21,adopted,budget-fy2020-21-vol1,154,new fund in 2020-21 (Student Success Act / SIA); prior years printed as '-',fy2020-21
251 - Student Investment Account Fund,39162,39162,2020-21,approved,budget-fy2020-21-vol1,154,new fund in 2020-21 (Student Success Act / SIA); prior years printed as '-',fy2020-21
251 - Student Investment Account Fund,39162,39162,2020-21,proposed,budget-fy2020-21-vol1,154,new fund in 2020-21 (Student Success Act / SIA); prior years printed as '-',fy2020-21
299 - Dedicated Resource Fund,17749,17749,2020-21,adopted,budget-fy2020-21-vol1,158,,fy2020-21
299 - Dedicated Resource Fund,17749,17749,2020-21,approved,budget-fy2020-21-vol1,158,,fy2020-21
299 - Dedicated Resource Fund,17749,17749,2020-21,proposed,budget-fy2020-21-vol1,158,,fy2020-21
307 - IT Projects Debt Service Fund,0,0,2020-21,adopted,budget-fy2020-21-vol1,175,2019-20 onward printed as '-' (no remaining budget); printed as '-',fy2020-21
307 - IT Projects Debt Service Fund,0,0,2020-21,approved,budget-fy2020-21-vol1,175,2019-20 onward printed as '-' (no remaining budget); printed as '-',fy2020-21
307 - IT Projects Debt Service Fund,0,0,2020-21,proposed,budget-fy2020-21-vol1,175,2019-20 onward printed as '-' (no remaining budget); printed as '-',fy2020-21
308 - PERS UAL Debt Service Fund,54642,54642,2020-21,adopted,budget-fy2020-21-vol1,178,,fy2020-21
308 - PERS UAL Debt Service Fund,54642,54642,2020-21,approved,budget-fy2020-21-vol1,178,,fy2020-21
308 - PERS UAL Debt Service Fund,54642,54642,2020-21,proposed,budget-fy2020-21-vol1,178,,fy2020-21
320 - Full Faith and Credit Debt Service Fund,1805,1805,2020-21,adopted,budget-fy2020-21-vol1,181,,fy2020-21
320 - Full Faith and Credit Debt Service Fund,1805,1805,2020-21,approved,budget-fy2020-21-vol1,181,,fy2020-21
320 - Full Faith and Credit Debt Service Fund,1805,1805,2020-21,proposed,budget-fy2020-21-vol1,181,,fy2020-21
350 - GO Bonds Debt Service Fund,145225,145225,2020-21,adopted,budget-fy2020-21-vol1,184,,fy2020-21
350 - GO Bonds Debt Service Fund,145225,145225,2020-21,approved,budget-fy2020-21-vol1,184,,fy2020-21
350 - GO Bonds Debt Service Fund,145225,145225,2020-21,proposed,budget-fy2020-21-vol1,184,,fy2020-21
404 - Construction Excise Fund,16230,16230,2020-21,adopted,budget-fy2020-21-vol1,191,,fy2020-21
404 - Construction Excise Fund,16230,16230,2020-21,approved,budget-fy2020-21-vol1,191,,fy2020-21
404 - Construction Excise Fund,16230,16230,2020-21,proposed,budget-fy2020-21-vol1,191,,fy2020-21
407 - IT System Project Fund,0,0,2020-21,adopted,budget-fy2020-21-vol1,195,2020-21 printed as '-'; printed as '-',fy2020-21
407 - IT System Project Fund,0,0,2020-21,approved,budget-fy2020-21-vol1,195,2020-21 printed as '-'; printed as '-',fy2020-21
407 - IT System Project Fund,0,0,2020-21,proposed,budget-fy2020-21-vol1,195,2020-21 printed as '-'; printed as '-',fy2020-21
420 - Full Faith and Credit Fund,2183,2183,2020-21,adopted,budget-fy2020-21-vol1,198,,fy2020-21
420 - Full Faith and Credit Fund,2183,2183,2020-21,approved,budget-fy2020-21-vol1,198,,fy2020-21
420 - Full Faith and Credit Fund,2183,2183,2020-21,proposed,budget-fy2020-21-vol1,198,,fy2020-21
435 - Energy Efficient Schools Fund,2588,2588,2020-21,adopted,budget-fy2020-21-vol1,202,,fy2020-21
435 - Energy Efficient Schools Fund,2588,2588,2020-21,approved,budget-fy2020-21-vol1,202,,fy2020-21
435 - Energy Efficient Schools Fund,2588,2588,2020-21,proposed,budget-fy2020-21-vol1,202,,fy2020-21
438 - Facilities Capital Fund,4255,4255,2020-21,adopted,budget-fy2020-21-vol1,205,,fy2020-21
438 - Facilities Capital Fund,4255,4255,2020-21,approved,budget-fy2020-21-vol1,205,,fy2020-21
438 - Facilities Capital Fund,4255,4255,2020-21,proposed,budget-fy2020-21-vol1,205,,fy2020-21
445 - Capital Asset Renewal Fund,16010,16010,2020-21,adopted,budget-fy2020-21-vol1,209,,fy2020-21
445 - Capital Asset Renewal Fund,16010,16010,2020-21,approved,budget-fy2020-21-vol1,209,,fy2020-21
445 - Capital Asset Renewal Fund,16010,16010,2020-21,proposed,budget-fy2020-21-vol1,209,,fy2020-21
450 - GO Bonds Fund,1552542,1552542,2020-21,adopted,budget-fy2020-21-vol1,212,Approved/Adopted include $1.0B placeholder for possible Nov 2020 bond measure,fy2020-21
450 - GO Bonds Fund,1552542,1552542,2020-21,approved,budget-fy2020-21-vol1,212,Approved/Adopted include $1.0B placeholder for possible Nov 2020 bond measure,fy2020-21
450 - GO Bonds Fund,552542,552542,2020-21,proposed,budget-fy2020-21-vol1,212,Approved/Adopted include $1.0B placeholder for possible Nov 2020 bond measure,fy2020-21
470 - Partnership Funds,278,278,2020-21,adopted,budget-fy2020-21-vol1,217,,fy2020-21
470 - Partnership Funds,278,278,2020-21,approved,budget-fy2020-21-vol1,217,,fy2020-21
470 - Partnership Funds,278,278,2020-21,proposed,budget-fy2020-21-vol1,217,,fy2020-21
601 - Self-Insurance Fund,8532,8532,2020-21,adopted,budget-fy2020-21-vol1,228,,fy2020-21
601 - Self-Insurance Fund,8532,8532,2020-21,approved,budget-fy2020-21-vol1,228,,fy2020-21
601 - Self-Insurance Fund,8532,8532,2020-21,proposed,budget-fy2020-21-vol1,228,,fy2020-21
Cafeteria Fund (202),18433,18433,2020-21,actual-budgetary,budget-fy2022-23-vol1,169,,fy2022-23
Cafeteria Fund (202),18434,18434,2020-21,actual-budgetary,budget-fy2023-24-vol1,113,,fy2023-24
Capital Asset Renewal Fund (445),14718,14718,2020-21,actual-budgetary,budget-fy2022-23-vol1,240,,fy2022-23
Capital Asset Renewal Fund (445),14718,14718,2020-21,actual-budgetary,budget-fy2023-24-vol1,178,,fy2023-24
Capital Project Funds (400),1594085,1594085,2020-21,revised,budget-fy2021-22-vol1,227,requirements from PDF p.229 of same doc,fy2021-22
Capital Projects Fund,1066674,1066674,2020-21,actual-budgetary,tscc-review-fy2024,18,"2023-24 printed 834,105 (p.15 Other Funds table prints 834,107); FY2023-24 adds Harriet Tubman MS Relocation Fund ($122.5M state grant, p.4)",tscc
Capital Projects Funds (400) [group total],1066429,1066429,2020-21,actual-budgetary,budget-fy2022-23-vol1,220,,fy2022-23
Capital Projects Funds (400) [group total],1066429,1066429,2020-21,actual-budgetary,budget-fy2023-24-vol1,157,,fy2023-24
Capital Projects Funds (400),1066429,1066429,2020-21,actual-budgetary,budget-fy2024-25-vol1,155,"resources p155, requirements total p156",fy2024-25
Construction Excise Fund (404),14678,14678,2020-21,actual-budgetary,budget-fy2023-24-vol1,160,,fy2023-24
Construction Excise Fund (404),14679,14678,2020-21,actual-budgetary,budget-fy2022-23-vol1,224,,fy2022-23
Debt Service Fund,57422,57422,2020-21,actual-budgetary,tscc-review-fy2024,18,"2023-24 printed 86,445 (FY25 review prints 86,446)",tscc
Debt Service Funds (300) [group total],258478,258478,2020-21,actual-budgetary,budget-fy2022-23-vol1,201,,fy2022-23
