fund_name,resources_k,requirements_k,fy,basis,doc_id,page,notes,fragment
201 Student Body Activity Fund,,13095.969,2016-17,revised,budget-fy2017-18-book,65,,fy2017-18
201 Student Body Activity Fund,11585.302,11585.302,2016-17,actual-budgetary,budget-fy2018-19-book,93,,fy2018-19
202 - Cafeteria Fund,24468,24468,2016-17,actual-budgetary,budget-fy2020-21-vol1,137,,fy2020-21
202 Cafeteria Fund,,24302.556,2016-17,adopted,budget-fy2016-17-book,66,,fy2016-17
202 Cafeteria Fund,,24302.556,2016-17,approved,budget-fy2016-17-book,66,,fy2016-17
202 Cafeteria Fund,,24302.556,2016-17,proposed,budget-fy2016-17-book,66,,fy2016-17
202 Cafeteria Fund,,26607.599,2016-17,revised,budget-fy2017-18-book,65,,fy2017-18
202 Cafeteria Fund,24468.316,24468.316,2016-17,actual-budgetary,budget-fy2018-19-book,94,,fy2018-19
205 - Grants Fund,59803,59803,2016-17,actual-budgetary,budget-fy2020-21-vol1,141,,fy2020-21
205 Grants Fund,,69007.282,2016-17,approved,budget-fy2016-17-book,66,,fy2016-17
205 Grants Fund,,69007.282,2016-17,proposed,budget-fy2016-17-book,66,,fy2016-17
205 Grants Fund,,69334.196,2016-17,adopted,budget-fy2016-17-book,66,,fy2016-17
205 Grants Fund,,69334.196,2016-17,revised,budget-fy2017-18-book,65,,fy2017-18
205 Grants Fund,59803.272,59803.272,2016-17,actual-budgetary,budget-fy2018-19-book,97,,fy2018-19
225 - PERS Rate Stabilization Reserve Fund,16813,16813,2016-17,actual-budgetary,budget-fy2020-21-vol1,151,,fy2020-21
225 PERS Rate Stabilization Reserve Fund,,16688.299,2016-17,adopted,budget-fy2016-17-book,66,,fy2016-17
225 PERS Rate Stabilization Reserve Fund,,16688.299,2016-17,approved,budget-fy2016-17-book,66,,fy2016-17
225 PERS Rate Stabilization Reserve Fund,,16688.299,2016-17,proposed,budget-fy2016-17-book,66,,fy2016-17
225 PERS Rate Stabilization Reserve Fund,,16745.967,2016-17,revised,budget-fy2017-18-book,65,,fy2017-18
225 PERS Rate Stabilization Reserve Fund,16813.301,16813.301,2016-17,actual-budgetary,budget-fy2018-19-book,106,,fy2018-19
251 - Student Investment Account Fund,0,0,2016-17,actual-budgetary,budget-fy2020-21-vol1,154,new fund in 2020-21 (Student Success Act / SIA); prior years printed as '-'; printed as '-',fy2020-21
299 - Dedicated Resource Fund,14809,14809,2016-17,actual-budgetary,budget-fy2020-21-vol1,158,,fy2020-21
299 Dedicated Resource Fund,,13102.048,2016-17,adopted,budget-fy2016-17-book,66,,fy2016-17
299 Dedicated Resource Fund,,13102.048,2016-17,approved,budget-fy2016-17-book,66,,fy2016-17
299 Dedicated Resource Fund,,13102.048,2016-17,proposed,budget-fy2016-17-book,66,,fy2016-17
299 Dedicated Resource Fund,,13102.048,2016-17,revised,budget-fy2017-18-book,65,,fy2017-18
299 Dedicated Resource Fund,14809.022,14809.022,2016-17,actual-budgetary,budget-fy2018-19-book,107,,fy2018-19
307 - IT Projects Debt Service Fund,2707,2707,2016-17,actual-budgetary,budget-fy2020-21-vol1,175,2019-20 onward printed as '-' (no remaining budget),fy2020-21
307 IT Projects Debt Service Fund,,2707.434,2016-17,adopted,budget-fy2016-17-book,66,,fy2016-17
307 IT Projects Debt Service Fund,,2707.434,2016-17,approved,budget-fy2016-17-book,66,,fy2016-17
307 IT Projects Debt Service Fund,,2707.434,2016-17,proposed,budget-fy2016-17-book,66,,fy2016-17
307 IT Projects Debt Service Fund,,2707.434,2016-17,revised,budget-fy2017-18-book,65,,fy2017-18
307 IT Projects Debt Service Fund,2707.434,2707.434,2016-17,actual-budgetary,budget-fy2018-19-book,114,,fy2018-19
308 - PERS UAL Debt Service Fund,44775,44775,2016-17,actual-budgetary,budget-fy2020-21-vol1,178,,fy2020-21
308 PERS UAL Debt Service Fund,,44138.307,2016-17,revised,budget-fy2017-18-book,65,,fy2017-18
308 PERS UAL Debt Service Fund,,45667.574,2016-17,adopted,budget-fy2016-17-book,66,,fy2016-17
308 PERS UAL Debt Service Fund,,45667.574,2016-17,approved,budget-fy2016-17-book,66,,fy2016-17
308 PERS UAL Debt Service Fund,,45667.574,2016-17,proposed,budget-fy2016-17-book,66,,fy2016-17
308 PERS UAL Debt Service Fund,44775.447,44775.447,2016-17,actual-budgetary,budget-fy2018-19-book,115,,fy2018-19
320 - Full Faith and Credit Debt Service Fund,1352,1352,2016-17,actual-budgetary,budget-fy2020-21-vol1,181,,fy2020-21
320 Full Faith and Credit Debt Service Fund,,1266.926,2016-17,adopted,budget-fy2016-17-book,66,,fy2016-17
320 Full Faith and Credit Debt Service Fund,,1266.926,2016-17,approved,budget-fy2016-17-book,66,,fy2016-17
320 Full Faith and Credit Debt Service Fund,,1266.926,2016-17,proposed,budget-fy2016-17-book,66,,fy2016-17
320 Full Faith and Credit Debt Service Fund,,1366.926,2016-17,revised,budget-fy2017-18-book,65,,fy2017-18
320 Full Faith and Credit Debt Service Fund,1351.617,1351.617,2016-17,actual-budgetary,budget-fy2018-19-book,116,,fy2018-19
338 Facilities Capital Debt Service Fund,,323.53,2016-17,adopted,budget-fy2016-17-book,66,,fy2016-17
338 Facilities Capital Debt Service Fund,,323.53,2016-17,approved,budget-fy2016-17-book,66,new fund; first appears at approved stage (dash in Current 2015/16 and Proposed columns),fy2016-17
350 - GO Bonds Debt Service Fund,52040,52040,2016-17,actual-budgetary,budget-fy2020-21-vol1,184,,fy2020-21
350 GO Bonds Debt Service Fund,52040.349,52040.349,2016-17,actual-budgetary,budget-fy2018-19-book,117,,fy2018-19
350 GO Bonds Debt Service Funds,,49718.598,2016-17,adopted,budget-fy2016-17-book,66,,fy2016-17
350 GO Bonds Debt Service Funds,,49718.598,2016-17,approved,budget-fy2016-17-book,66,,fy2016-17
350 GO Bonds Debt Service Funds,,50128.598,2016-17,proposed,budget-fy2016-17-book,66,,fy2016-17
350 GO Bonds Debt Service Funds,,51027.767,2016-17,revised,budget-fy2017-18-book,65,,fy2017-18
404 - Construction Excise Fund,23223,23223,2016-17,actual-budgetary,budget-fy2020-21-vol1,191,,fy2020-21
404 Construction Excise Fund,,21376.273,2016-17,adopted,budget-fy2016-17-book,66,,fy2016-17
404 Construction Excise Fund,,21376.273,2016-17,approved,budget-fy2016-17-book,66,,fy2016-17
404 Construction Excise Fund,,21376.273,2016-17,proposed,budget-fy2016-17-book,66,,fy2016-17
404 Construction Excise Fund,,22027.290,2016-17,revised,budget-fy2017-18-book,65,,fy2017-18
404 Construction Excise Fund,23223.425,23223.425,2016-17,actual-budgetary,budget-fy2018-19-book,118,,fy2018-19
407 - IT System Project Fund,1907,1907,2016-17,actual-budgetary,budget-fy2020-21-vol1,195,2020-21 printed as '-',fy2020-21
407 IT System Project Fund,,1125.061,2016-17,proposed,budget-fy2016-17-book,66,,fy2016-17
407 IT System Project Fund,,1467.822,2016-17,adopted,budget-fy2016-17-book,66,,fy2016-17
407 IT System Project Fund,,1467.822,2016-17,approved,budget-fy2016-17-book,66,,fy2016-17
407 IT System Project Fund,,1907.028,2016-17,revised,budget-fy2017-18-book,65,,fy2017-18
407 IT System Project Fund,1907.256,1907.256,2016-17,actual-budgetary,budget-fy2018-19-book,120,,fy2018-19
420 - Full Faith and Credit Fund,19281,19281,2016-17,actual-budgetary,budget-fy2020-21-vol1,198,,fy2020-21
420 Full Faith and Credit Fund,,19300.000,2016-17,revised,budget-fy2017-18-book,65,,fy2017-18
420 Full Faith and Credit Fund,19280.737,19280.737,2016-17,actual-budgetary,budget-fy2018-19-book,122,,fy2018-19
435 - Energy Efficient Schools Fund,2448,2448,2016-17,actual-budgetary,budget-fy2020-21-vol1,202,,fy2020-21
435 Energy Efficient Schools Fund,,1685.438,2016-17,adopted,budget-fy2016-17-book,66,,fy2016-17
435 Energy Efficient Schools Fund,,1685.438,2016-17,approved,budget-fy2016-17-book,66,,fy2016-17
435 Energy Efficient Schools Fund,,1685.438,2016-17,proposed,budget-fy2016-17-book,66,,fy2016-17
435 Energy Efficient Schools Fund,,1881.273,2016-17,revised,budget-fy2017-18-book,65,,fy2017-18
435 Energy Efficient Schools Fund,2447.840,2447.840,2016-17,actual-budgetary,budget-fy2018-19-book,124,,fy2018-19
