source,amount_k,fy,basis,doc_id,page,notes,fragment
State School Fund,179505,2015,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Total revenues,691891,2015,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
2000 - REVENUE - INTERMEDIATE SOURCES,13103,2015-16,actual-budgetary,budget-fy2019-20-book,82,,fy2019-20
3000 - REVENUE FROM STATE SOURCES,217063,2015-16,actual-budgetary,budget-fy2019-20-book,82,,fy2019-20
4000 - REVENUE FROM FEDERAL SOURCES,25,2015-16,actual-budgetary,budget-fy2019-20-book,82,,fy2019-20
5200 - INTERFUND TRANSFERS,0,2015-16,actual-budgetary,budget-fy2019-20-book,82,,fy2019-20
ALL OTHER BUDGET RESOURCES,117,2015-16,actual-budgetary,budget-fy2019-20-book,82,,fy2019-20
Beginning Fund Balance (376510),34441.540,2015-16,actual-budgetary,budget-fy2018-19-book,81,actual-year columns exist only in the Fund 101 detail table; classification differs slightly from the p.72 summary (412000 and food service placement),fy2018-19
Beginning Fund Balance,34441.54,2015-16,revised,budget-fy2016-17-book,87,account 376510,fy2016-17
Beginning Fund Balance,34441.540,2015-16,actual-budgetary,budget-fy2017-18-book,87,,fy2017-18
BEGINNING FUND BALANCE,34442,2015-16,actual-budgetary,budget-fy2019-20-book,82,native unit thousands; Summary of Resources by Major Account - General Fund; printed dashes recorded as 0,fy2019-20
Common School Fund,4490,2015-16,revised,budget-fy2016-17-book,89,account 431030; component of State Sources,fy2016-17
CURRENT YEAR LOCAL OPTION PROPERTY TAXES,75357,2015-16,actual-budgetary,budget-fy2019-20-book,82,,fy2019-20
CURRENT YEAR PROPERTY TAXES OTHER THAN LOCAL OPTION,227207,2015-16,actual-budgetary,budget-fy2019-20-book,82,,fy2019-20
Earnings on Investment (detail subtotal),887.202,2015-16,actual-budgetary,budget-fy2018-19-book,82,,fy2018-19
Earnings on Investment,300,2015-16,revised,budget-fy2016-17-book,88,printed subtotal,fy2016-17
Earnings on Investment,887.202,2015-16,actual-budgetary,budget-fy2017-18-book,88,,fy2017-18
Extra-Curricular Activities (detail subtotal),808.200,2015-16,actual-budgetary,budget-fy2018-19-book,82,,fy2018-19
