source,amount_k,fy,basis,doc_id,page,notes,fragment
All Other Budget Resources,17,2019-20,actual-budgetary,budget-fy2022-23-vol1,149,,fy2022-23
All Other Budget Resources,17,2019-20,actual-budgetary,budget-fy2023-24-vol1,94,2021-22 actual includes 399390 bond proceeds + 1449 premium of Series 2021 FF&C pension bonds (detail p98),fy2023-24
ALL OTHER BUDGET RESOURCES,50,2019-20,adopted,budget-fy2019-20-book,82,,fy2019-20
ALL OTHER BUDGET RESOURCES,50,2019-20,approved,budget-fy2019-20-book,82,,fy2019-20
ALL OTHER BUDGET RESOURCES,50,2019-20,proposed,budget-fy2019-20-book,82,,fy2019-20
All Other Budget Resources,50,2019-20,revised,budget-fy2020-21-vol1,117,,fy2020-21
BEGINNING FUND BALANCE,33112,2019-20,proposed,budget-fy2019-20-book,82,,fy2019-20
BEGINNING FUND BALANCE,34112,2019-20,adopted,budget-fy2019-20-book,82,,fy2019-20
BEGINNING FUND BALANCE,34112,2019-20,approved,budget-fy2019-20-book,82,,fy2019-20
Beginning Fund Balance,34112,2019-20,revised,budget-fy2020-21-vol1,117,,fy2020-21
Beginning Fund Balance,39887,2019-20,actual-budgetary,budget-fy2021-22-vol1,151,,fy2021-22
Beginning Fund Balance,39887,2019-20,actual-budgetary,budget-fy2022-23-vol1,149,,fy2022-23
Beginning Fund Balance,39887,2019-20,actual-budgetary,budget-fy2023-24-vol1,94,"native unit thousands of dollars in source; 2022-23 column printed as 'Budget'; matches FY2022-23 book adopted total, so basis=adopted",fy2023-24
CURRENT YEAR LOCAL OPTION PROPERTY TAXES,97350,2019-20,adopted,budget-fy2019-20-book,82,,fy2019-20
CURRENT YEAR LOCAL OPTION PROPERTY TAXES,97350,2019-20,approved,budget-fy2019-20-book,82,,fy2019-20
CURRENT YEAR LOCAL OPTION PROPERTY TAXES,97350,2019-20,proposed,budget-fy2019-20-book,82,,fy2019-20
Current Year Local Option Property Taxes,97350,2019-20,revised,budget-fy2020-21-vol1,117,,fy2020-21
Current Year Local Option Property Taxes,97372,2019-20,actual-budgetary,budget-fy2021-22-vol1,151,,fy2021-22
Current Year Local Option Property Taxes,97372,2019-20,actual-budgetary,budget-fy2022-23-vol1,149,,fy2022-23
Current Year Local Option Property Taxes,97372,2019-20,actual-budgetary,budget-fy2023-24-vol1,94,,fy2023-24
CURRENT YEAR PROPERTY TAXES OTHER THAN LOCAL OPTION,265634,2019-20,adopted,budget-fy2019-20-book,82,,fy2019-20
CURRENT YEAR PROPERTY TAXES OTHER THAN LOCAL OPTION,265634,2019-20,approved,budget-fy2019-20-book,82,,fy2019-20
CURRENT YEAR PROPERTY TAXES OTHER THAN LOCAL OPTION,265634,2019-20,proposed,budget-fy2019-20-book,82,,fy2019-20
Current Year Property Taxes Other Than Local Option,265634,2019-20,revised,budget-fy2020-21-vol1,117,,fy2020-21
Current Year Property Taxes Other Than Local Option,268840,2019-20,actual-budgetary,budget-fy2021-22-vol1,151,,fy2021-22
Current Year Property Taxes Other Than Local Option,268840,2019-20,actual-budgetary,budget-fy2022-23-vol1,149,,fy2022-23
Current Year Property Taxes Other Than Local Option,268840,2019-20,actual-budgetary,budget-fy2023-24-vol1,94,,fy2023-24
Other Revenue From Local Sources,17505,2019-20,actual-budgetary,budget-fy2021-22-vol1,151,,fy2021-22
Other Revenue From Local Sources,17505,2019-20,actual-budgetary,budget-fy2022-23-vol1,149,,fy2022-23
Other Revenue From Local Sources,17505,2019-20,actual-budgetary,budget-fy2023-24-vol1,94,,fy2023-24
OTHER REVENUE FROM LOCAL SOURCES,19906,2019-20,adopted,budget-fy2019-20-book,82,,fy2019-20
OTHER REVENUE FROM LOCAL SOURCES,19906,2019-20,approved,budget-fy2019-20-book,82,,fy2019-20
OTHER REVENUE FROM LOCAL SOURCES,19906,2019-20,proposed,budget-fy2019-20-book,82,,fy2019-20
Other Revenue From Local Sources,19906,2019-20,revised,budget-fy2020-21-vol1,117,,fy2020-21
Total Resources,686647,2019-20,proposed,budget-fy2019-20-book,82,,fy2019-20
TOTAL RESOURCES,691767,2019-20,revised,budget-fy2020-21-vol1,117,,fy2020-21
Total Resources,691769,2019-20,adopted,budget-fy2019-20-book,82,,fy2019-20
Total Resources,691769,2019-20,approved,budget-fy2019-20-book,82,,fy2019-20
TOTAL RESOURCES,709092,2019-20,actual-budgetary,budget-fy2022-23-vol1,149,,fy2022-23
TOTAL RESOURCES,709092,2019-20,actual-budgetary,budget-fy2023-24-vol1,94,"proposed total printed 823424 here, 823423 on detail p98 (rounding)",fy2023-24
TOTAL RESOURCES,709093,2019-20,actual-budgetary,budget-fy2021-22-vol1,151,,fy2021-22
Charges for services,59597,2020,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Charges for services,59597,2020,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
County and intermediate sources,19072,2020,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
County and intermediate sources,19072,2020,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Extracurricular activities,4914,2020,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Extracurricular activities,4914,2020,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Federal and state support,90493,2020,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Federal and state support,90493,2020,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Federal stimulus,0,2020,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only; printed as dash (zero)",acfr-statistical
Investment earnings,12400,2020,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Investment earnings,12400,2020,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Local option taxes,98789,2020,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Local option taxes,98789,2020,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Other,12717,2020,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Other,12717,2020,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Property and other taxes,403864,2020,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Property and other taxes,403864,2020,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State Common School Fund,5012,2020,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State Common School Fund,5012,2020,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State School Fund,266607,2020,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State School Fund,266607,2020,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Total revenues,973465,2020,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Total revenues,973465,2020,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
2000 - Revenue - Intermediate Sources,14027,2020-21,adopted,budget-fy2020-21-vol1,117,,fy2020-21
2000 - Revenue - Intermediate Sources,14027,2020-21,approved,budget-fy2020-21-vol1,117,,fy2020-21
2000 - Revenue - Intermediate Sources,14027,2020-21,proposed,budget-fy2020-21-vol1,117,,fy2020-21
2000 - Revenue - Intermediate Sources,14027,2020-21,revised,budget-fy2021-22-vol1,151,,fy2021-22
2000 - Revenue - Intermediate Sources,14374,2020-21,actual-budgetary,budget-fy2022-23-vol1,149,,fy2022-23
2000 - Revenue - Intermediate Sources,14374,2020-21,actual-budgetary,budget-fy2023-24-vol1,94,,fy2023-24
3000 - Revenue From State Sources,269250,2020-21,actual-budgetary,budget-fy2022-23-vol1,149,,fy2022-23
3000 - Revenue From State Sources,269250,2020-21,actual-budgetary,budget-fy2023-24-vol1,94,,fy2023-24
3000 - Revenue From State Sources,272479,2020-21,adopted,budget-fy2020-21-vol1,117,,fy2020-21
3000 - Revenue From State Sources,272479,2020-21,approved,budget-fy2020-21-vol1,117,,fy2020-21
3000 - Revenue From State Sources,272479,2020-21,proposed,budget-fy2020-21-vol1,117,,fy2020-21
3000 - Revenue From State Sources,272479,2020-21,revised,budget-fy2021-22-vol1,151,,fy2021-22
4000 - Revenue From Federal Sources,0,2020-21,adopted,budget-fy2020-21-vol1,117,printed as '-',fy2020-21
4000 - Revenue From Federal Sources,0,2020-21,approved,budget-fy2020-21-vol1,117,printed as '-',fy2020-21
4000 - Revenue From Federal Sources,0,2020-21,proposed,budget-fy2020-21-vol1,117,printed as '-',fy2020-21
4000 - Revenue From Federal Sources,0,2020-21,revised,budget-fy2021-22-vol1,151,,fy2021-22
4000 - Revenue From Federal Sources,18,2020-21,actual-budgetary,budget-fy2022-23-vol1,149,,fy2022-23
4000 - Revenue From Federal Sources,18,2020-21,actual-budgetary,budget-fy2023-24-vol1,94,,fy2023-24
5200 - Interfund Transfers,0,2020-21,actual-budgetary,budget-fy2023-24-vol1,94,,fy2023-24
5200 - Interfund Transfers,0,2020-21,adopted,budget-fy2020-21-vol1,117,printed as '-',fy2020-21
5200 - Interfund Transfers,0,2020-21,approved,budget-fy2020-21-vol1,117,printed as '-',fy2020-21
5200 - Interfund Transfers,0,2020-21,proposed,budget-fy2020-21-vol1,117,printed as '-',fy2020-21
5200 - Interfund Transfers,0,2020-21,revised,budget-fy2021-22-vol1,151,,fy2021-22
All Other Budget Resources,152,2020-21,actual-budgetary,budget-fy2022-23-vol1,149,,fy2022-23
All Other Budget Resources,152,2020-21,actual-budgetary,budget-fy2023-24-vol1,94,,fy2023-24
All Other Budget Resources,152,2020-21,actual-budgetary,budget-fy2024-25-vol1,99,,fy2024-25
All Other Budget Resources,50,2020-21,adopted,budget-fy2020-21-vol1,117,,fy2020-21
All Other Budget Resources,50,2020-21,approved,budget-fy2020-21-vol1,117,,fy2020-21
All Other Budget Resources,50,2020-21,proposed,budget-fy2020-21-vol1,117,,fy2020-21
All Other Budget Resources,50,2020-21,revised,budget-fy2021-22-vol1,151,,fy2021-22
Beginning Fund Balance,46631,2020-21,adopted,budget-fy2020-21-vol1,117,,fy2020-21
Beginning Fund Balance,46631,2020-21,approved,budget-fy2020-21-vol1,117,,fy2020-21
Beginning Fund Balance,46631,2020-21,proposed,budget-fy2020-21-vol1,117,,fy2020-21
Beginning Fund Balance,64474,2020-21,actual-budgetary,budget-fy2022-23-vol1,149,,fy2022-23
Beginning Fund Balance,64474,2020-21,actual-budgetary,budget-fy2023-24-vol1,94,,fy2023-24
Beginning Fund Balance,64474,2020-21,actual-budgetary,budget-fy2024-25-vol1,99,"native unit thousands; Summary of Resources by Major Object - General Funds",fy2024-25
Beginning Fund Balance,64474,2020-21,actual-budgetary,tscc-review-fy2024,19,DETAIL OF GENERAL FUND - RESOURCES (Budget Summary); native whole dollars,tscc
Beginning Fund Balance,64474,2020-21,revised,budget-fy2021-22-vol1,151,,fy2021-22
Current Year Local Option Property Taxes,100366,2020-21,adopted,budget-fy2020-21-vol1,117,,fy2020-21
Current Year Local Option Property Taxes,100366,2020-21,approved,budget-fy2020-21-vol1,117,,fy2020-21
Current Year Local Option Property Taxes,100366,2020-21,proposed,budget-fy2020-21-vol1,117,,fy2020-21
Current Year Local Option Property Taxes,100366,2020-21,revised,budget-fy2021-22-vol1,151,,fy2021-22
Current Year Local Option Property Taxes,100955,2020-21,actual-budgetary,budget-fy2022-23-vol1,149,,fy2022-23
Current Year Local Option Property Taxes,100955,2020-21,actual-budgetary,budget-fy2023-24-vol1,94,,fy2023-24
Current Year Local Option Property Taxes,100955,2020-21,actual-budgetary,budget-fy2024-25-vol1,99,,fy2024-25
Current Year Property Taxes Other Than Local Option,277706,2020-21,adopted,budget-fy2020-21-vol1,117,,fy2020-21
Current Year Property Taxes Other Than Local Option,277706,2020-21,approved,budget-fy2020-21-vol1,117,,fy2020-21
Current Year Property Taxes Other Than Local Option,277706,2020-21,proposed,budget-fy2020-21-vol1,117,,fy2020-21
Current Year Property Taxes Other Than Local Option,277706,2020-21,revised,budget-fy2021-22-vol1,151,,fy2021-22
Current Year Property Taxes Other Than Local Option,281443,2020-21,actual-budgetary,budget-fy2022-23-vol1,149,,fy2022-23
Current Year Property Taxes Other Than Local Option,281443,2020-21,actual-budgetary,budget-fy2023-24-vol1,94,,fy2023-24
Current Year Property Taxes Other Than Local Option,281443,2020-21,actual-budgetary,budget-fy2024-25-vol1,99,,fy2024-25
Debt Proceeds,0,2020-21,actual-budgetary,tscc-review-fy2024,19,,tscc
Federal Revenue,18,2020-21,actual-budgetary,tscc-review-fy2024,19,,tscc
Fees and Charges,4821,2020-21,actual-budgetary,tscc-review-fy2024,19,,tscc
Local Revenue,14381,2020-21,actual-budgetary,tscc-review-fy2024,19,,tscc
Other Income,3198,2020-21,actual-budgetary,tscc-review-fy2024,19,,tscc
Other Revenue From Local Sources,13925,2020-21,actual-budgetary,budget-fy2022-23-vol1,149,,fy2022-23
Other Revenue From Local Sources,13925,2020-21,actual-budgetary,budget-fy2023-24-vol1,94,,fy2023-24
Other Revenue From Local Sources,13925,2020-21,actual-budgetary,budget-fy2024-25-vol1,99,,fy2024-25
Other Revenue From Local Sources,18395,2020-21,adopted,budget-fy2020-21-vol1,117,,fy2020-21
Other Revenue From Local Sources,18395,2020-21,approved,budget-fy2020-21-vol1,117,,fy2020-21
Other Revenue From Local Sources,18395,2020-21,proposed,budget-fy2020-21-vol1,117,,fy2020-21
Other Revenue From Local Sources,18395,2020-21,revised,budget-fy2021-22-vol1,151,,fy2021-22
Property Tax,388447,2020-21,actual-budgetary,tscc-review-fy2024,19,,tscc
Revenue - Intermediate Sources (2000),14374,2020-21,actual-budgetary,budget-fy2024-25-vol1,99,,fy2024-25
Revenue From Federal Sources (4000),18,2020-21,actual-budgetary,budget-fy2024-25-vol1,99,,fy2024-25
Revenue From State Sources (3000),269250,2020-21,actual-budgetary,budget-fy2024-25-vol1,99,,fy2024-25
State Revenue,269250,2020-21,actual-budgetary,tscc-review-fy2024,19,,tscc
TOTAL FUND RESOURCES,744589,2020-21,actual-budgetary,tscc-review-fy2024,19,,tscc
TOTAL RESOURCES,729654,2020-21,adopted,budget-fy2020-21-vol1,117,,fy2020-21
TOTAL RESOURCES,729654,2020-21,approved,budget-fy2020-21-vol1,117,,fy2020-21
TOTAL RESOURCES,729654,2020-21,proposed,budget-fy2020-21-vol1,117,,fy2020-21
TOTAL RESOURCES,744589,2020-21,actual-budgetary,budget-fy2022-23-vol1,149,,fy2022-23
TOTAL RESOURCES,744589,2020-21,actual-budgetary,budget-fy2023-24-vol1,94,,fy2023-24
Total Resources,744589,2020-21,actual-budgetary,budget-fy2024-25-vol1,99,,fy2024-25
TOTAL RESOURCES,747497,2020-21,revised,budget-fy2021-22-vol1,151,,fy2021-22
Transfers In,0,2020-21,actual-budgetary,tscc-review-fy2024,19,,tscc
Charges for services,57059,2021,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
County and intermediate sources,17185,2021,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Extracurricular activities,1237,2021,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Federal and state support,108683,2021,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Investment earnings,3018,2021,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Local option taxes,102417,2021,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Other,14628,2021,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Property and other taxes,421602,2021,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State Common School Fund,5628,2021,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State School Fund,263622,2021,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Total revenues,995079,2021,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
2000 - Revenue - Intermediate Sources,12762,2021-22,adopted,budget-fy2021-22-vol1,151,,fy2021-22
2000 - Revenue - Intermediate Sources,12762,2021-22,adopted,budget-fy2022-23-vol1,149,,fy2022-23
2000 - Revenue - Intermediate Sources,12762,2021-22,approved,budget-fy2021-22-vol1,151,,fy2021-22
2000 - Revenue - Intermediate Sources,12796,2021-22,actual-budgetary,budget-fy2023-24-vol1,94,,fy2023-24
2000 - Revenue - Intermediate Sources,12796,2021-22,actual-budgetary,budget-fy2025-26-vol1,98,,fy2025-26
2000 - Revenue - Intermediate Sources,13762,2021-22,proposed,budget-fy2021-22-vol1,151,,fy2021-22
3000 - Revenue From State Sources,261465,2021-22,adopted,budget-fy2021-22-vol1,151,,fy2021-22
3000 - Revenue From State Sources,261465,2021-22,adopted,budget-fy2022-23-vol1,149,,fy2022-23
3000 - Revenue From State Sources,261465,2021-22,approved,budget-fy2021-22-vol1,151,,fy2021-22
3000 - Revenue From State Sources,261465,2021-22,proposed,budget-fy2021-22-vol1,151,,fy2021-22
3000 - Revenue From State Sources,265008,2021-22,actual-budgetary,budget-fy2023-24-vol1,94,,fy2023-24
3000 - Revenue from State Sources,265008,2021-22,actual-budgetary,budget-fy2025-26-vol1,98,,fy2025-26
4000 - Revenue From Federal Sources,15,2021-22,adopted,budget-fy2021-22-vol1,151,,fy2021-22
4000 - Revenue From Federal Sources,15,2021-22,adopted,budget-fy2022-23-vol1,149,,fy2022-23
4000 - Revenue From Federal Sources,15,2021-22,approved,budget-fy2021-22-vol1,151,,fy2021-22
4000 - Revenue From Federal Sources,15,2021-22,proposed,budget-fy2021-22-vol1,151,,fy2021-22
4000 - Revenue From Federal Sources,21,2021-22,actual-budgetary,budget-fy2023-24-vol1,94,,fy2023-24
4000 - Revenue from Federal Sources,21,2021-22,actual-budgetary,budget-fy2025-26-vol1,98,,fy2025-26
5200 - Interfund Transfers,0,2021-22,actual-budgetary,budget-fy2023-24-vol1,94,,fy2023-24
5200 - Interfund Transfers,0,2021-22,actual-budgetary,budget-fy2025-26-vol1,98,,fy2025-26
5200 - Interfund Transfers,0,2021-22,adopted,budget-fy2021-22-vol1,151,,fy2021-22
5200 - Interfund Transfers,0,2021-22,approved,budget-fy2021-22-vol1,151,,fy2021-22
5200 - Interfund Transfers,0,2021-22,proposed,budget-fy2021-22-vol1,151,,fy2021-22
All Other Budget Resources,1050,2021-22,adopted,budget-fy2021-22-vol1,151,,fy2021-22
All Other Budget Resources,1050,2021-22,adopted,budget-fy2022-23-vol1,149,,fy2022-23
All Other Budget Resources,1050,2021-22,approved,budget-fy2021-22-vol1,151,,fy2021-22
All Other Budget Resources,1050,2021-22,proposed,budget-fy2021-22-vol1,151,,fy2021-22
All Other Budget Resources,400953,2021-22,actual-budgetary,budget-fy2023-24-vol1,94,,fy2023-24
All Other Budget Resources,400953,2021-22,actual-budgetary,budget-fy2024-25-vol1,99,"includes 399390 Series 2021 pension bond proceeds (451100 detail p103)",fy2024-25
All Other Budget Resources,400953,2021-22,actual-budgetary,budget-fy2025-26-vol1,98,"includes $399,390K 2021 pension bond proceeds (detail p.102)",fy2025-26
Beginning Fund Balance,73909,2021-22,proposed,budget-fy2021-22-vol1,151,,fy2021-22
Beginning Fund Balance,84845,2021-22,adopted,budget-fy2021-22-vol1,151,,fy2021-22
Beginning Fund Balance,84845,2021-22,adopted,budget-fy2022-23-vol1,149,,fy2022-23
Beginning Fund Balance,84845,2021-22,approved,budget-fy2021-22-vol1,151,,fy2021-22
Beginning Fund Balance,88691,2021-22,actual-budgetary,budget-fy2023-24-vol1,94,,fy2023-24
Beginning Fund Balance,88691,2021-22,actual-budgetary,budget-fy2024-25-vol1,99,,fy2024-25
Beginning Fund Balance,88691,2021-22,actual-budgetary,budget-fy2025-26-vol1,98,native unit thousands; Summary of Resources by Major Object - 100 General Fund,fy2025-26
Beginning Fund Balance,88691,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,85,PPS Budget Summary (annual report); DETAIL OF GENERAL FUND - RESOURCES (Budget Summary); native whole dollars; BFB and Property Tax rows print on p.84; remaining rows p.85,tscc
Beginning Fund Balance,88691,2021-22,actual-budgetary,tscc-review-fy2024,19,,tscc
Beginning Fund Balance,88691,2021-22,actual-budgetary,tscc-review-fy2025,18,DETAIL OF GENERAL FUND - RESOURCES (Budget Summary); native whole dollars,tscc
Current Year Local Option Property Taxes,104279,2021-22,adopted,budget-fy2021-22-vol1,151,,fy2021-22
Current Year Local Option Property Taxes,104279,2021-22,adopted,budget-fy2022-23-vol1,149,,fy2022-23
Current Year Local Option Property Taxes,104279,2021-22,approved,budget-fy2021-22-vol1,151,,fy2021-22
Current Year Local Option Property Taxes,104279,2021-22,proposed,budget-fy2021-22-vol1,151,,fy2021-22
Current Year Local Option Property Taxes,104719,2021-22,actual-budgetary,budget-fy2023-24-vol1,94,,fy2023-24
Current Year Local Option Property Taxes,104719,2021-22,actual-budgetary,budget-fy2024-25-vol1,99,,fy2024-25
Current Year Local Option Property Taxes,104719,2021-22,actual-budgetary,budget-fy2025-26-vol1,98,,fy2025-26
Current Year Property Taxes Other Than Local Option,293823,2021-22,adopted,budget-fy2021-22-vol1,151,,fy2021-22
Current Year Property Taxes Other Than Local Option,293823,2021-22,adopted,budget-fy2022-23-vol1,149,,fy2022-23
Current Year Property Taxes Other Than Local Option,293823,2021-22,approved,budget-fy2021-22-vol1,151,,fy2021-22
Current Year Property Taxes Other Than Local Option,293823,2021-22,proposed,budget-fy2021-22-vol1,151,,fy2021-22
Current Year Property Taxes Other Than Local Option,299770,2021-22,actual-budgetary,budget-fy2023-24-vol1,94,,fy2023-24
Current Year Property Taxes Other Than Local Option,299770,2021-22,actual-budgetary,budget-fy2024-25-vol1,99,,fy2024-25
Current Year Property Taxes other than Local Option,299770,2021-22,actual-budgetary,budget-fy2025-26-vol1,98,,fy2025-26
Debt Proceeds,400839,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,85,,tscc
Debt Proceeds,400839,2021-22,actual-budgetary,tscc-review-fy2024,19,,tscc
Debt Proceeds,400839,2021-22,actual-budgetary,tscc-review-fy2025,18,"2021-22 400,839 = POB-related; GASB lease debt proceeds in later years",tscc
Federal Revenue,21,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,85,,tscc
Federal Revenue,21,2021-22,actual-budgetary,tscc-review-fy2024,19,,tscc
Federal Revenue,21,2021-22,actual-budgetary,tscc-review-fy2025,18,2022-23 actual printed 21 here vs 28 in FY26 review p.19,tscc
Fees and Charges,7687,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,85,,tscc
Fees and Charges,7687,2021-22,actual-budgetary,tscc-review-fy2024,19,,tscc
Fees and Charges,7687,2021-22,actual-budgetary,tscc-review-fy2025,18,,tscc
Local Revenue,13582,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,85,,tscc
Local Revenue,13582,2021-22,actual-budgetary,tscc-review-fy2024,19,,tscc
Local Revenue,13582,2021-22,actual-budgetary,tscc-review-fy2025,18,,tscc
Other Income,1378,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,85,,tscc
Other Income,1378,2021-22,actual-budgetary,tscc-review-fy2024,19,,tscc
Other Income,1378,2021-22,actual-budgetary,tscc-review-fy2025,18,,tscc
Other Revenue From Local Sources,13398,2021-22,proposed,budget-fy2021-22-vol1,151,,fy2021-22
Other Revenue From Local Sources,13724,2021-22,adopted,budget-fy2021-22-vol1,151,,fy2021-22
Other Revenue From Local Sources,13724,2021-22,adopted,budget-fy2022-23-vol1,149,,fy2022-23
Other Revenue From Local Sources,13724,2021-22,approved,budget-fy2021-22-vol1,151,,fy2021-22
Other Revenue From Local Sources,16303,2021-22,actual-budgetary,budget-fy2023-24-vol1,94,,fy2023-24
Other Revenue From Local Sources,16303,2021-22,actual-budgetary,budget-fy2024-25-vol1,99,,fy2024-25
Other Revenue from Local Sources,16303,2021-22,actual-budgetary,budget-fy2025-26-vol1,98,,fy2025-26
Property Tax,411055,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,85,,tscc
Property Tax,411055,2021-22,actual-budgetary,tscc-review-fy2024,19,,tscc
Property Tax,411055,2021-22,actual-budgetary,tscc-review-fy2025,18,,tscc
Revenue - Intermediate Sources (2000),12796,2021-22,actual-budgetary,budget-fy2024-25-vol1,99,,fy2024-25
Revenue From Federal Sources (4000),21,2021-22,actual-budgetary,budget-fy2024-25-vol1,99,,fy2024-25
Revenue From State Sources (3000),265008,2021-22,actual-budgetary,budget-fy2024-25-vol1,99,,fy2024-25
State Revenue,265008,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,85,,tscc
State Revenue,265008,2021-22,actual-budgetary,tscc-review-fy2024,19,,tscc
State Revenue,265008,2021-22,actual-budgetary,tscc-review-fy2025,18,,tscc
TOTAL FUND RESOURCES,1188261,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,85,,tscc
TOTAL FUND RESOURCES,1188261,2021-22,actual-budgetary,tscc-review-fy2024,19,,tscc
TOTAL FUND RESOURCES,1188261,2021-22,actual-budgetary,tscc-review-fy2025,18,,tscc
TOTAL RESOURCES,1188261,2021-22,actual-budgetary,budget-fy2023-24-vol1,94,,fy2023-24
Total Resources,1188261,2021-22,actual-budgetary,budget-fy2024-25-vol1,99,,fy2024-25
Total Resources,1188261,2021-22,actual-budgetary,budget-fy2025-26-vol1,98,,fy2025-26
TOTAL RESOURCES,761700,2021-22,proposed,budget-fy2021-22-vol1,151,,fy2021-22
TOTAL RESOURCES,771963,2021-22,adopted,budget-fy2021-22-vol1,151,,fy2021-22
TOTAL RESOURCES,771963,2021-22,adopted,budget-fy2022-23-vol1,149,,fy2022-23
TOTAL RESOURCES,771963,2021-22,approved,budget-fy2021-22-vol1,151,,fy2021-22
Transfers In,0,2021-22,actual-budgetary,tscc-annual-report-2024-25-summaries,85,,tscc
Transfers In,0,2021-22,actual-budgetary,tscc-review-fy2024,19,,tscc
Transfers In,0,2021-22,actual-budgetary,tscc-review-fy2025,18,,tscc
Charges for services,78343,2022,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
County and intermediate sources,15566,2022,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Extracurricular activities,4020,2022,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Federal and state support,175128,2022,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Investment earnings,969,2022,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Local option taxes,106124,2022,actual-acfr,acfr-fy2025,128,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
