fund_name,resources_k,requirements_k,fy,basis,doc_id,page,notes
Grants Fund (205),201081,201081,2021-22,adopted,budget-fy2022-23-vol1,173,
Grants Fund (205),190824,190824,2022-23,proposed,budget-fy2022-23-vol1,173,
Grants Fund (205),196624,196624,2022-23,approved,budget-fy2022-23-vol1,173,
Grants Fund (205),196624,196624,2022-23,adopted,budget-fy2022-23-vol1,173,
PERS Rate Stabilization Reserve Fund (225),17954,17954,2018-19,actual-budgetary,budget-fy2022-23-vol1,184,
PERS Rate Stabilization Reserve Fund (225),18666,18666,2019-20,actual-budgetary,budget-fy2022-23-vol1,184,
PERS Rate Stabilization Reserve Fund (225),19056,19056,2020-21,actual-budgetary,budget-fy2022-23-vol1,184,
PERS Rate Stabilization Reserve Fund (225),19355,19355,2021-22,adopted,budget-fy2022-23-vol1,184,
PERS Rate Stabilization Reserve Fund (225),19793,19793,2022-23,proposed,budget-fy2022-23-vol1,184,
PERS Rate Stabilization Reserve Fund (225),19793,19793,2022-23,approved,budget-fy2022-23-vol1,184,
PERS Rate Stabilization Reserve Fund (225),19793,19793,2022-23,adopted,budget-fy2022-23-vol1,184,
Student Investment Account Fund (251),11572,11572,2020-21,actual-budgetary,budget-fy2022-23-vol1,187,fund first active in 2020-21 (SIA/HB3427)
Student Investment Account Fund (251),31526,31526,2021-22,adopted,budget-fy2022-23-vol1,187,
Student Investment Account Fund (251),38000,38000,2022-23,proposed,budget-fy2022-23-vol1,187,
Student Investment Account Fund (251),38000,38000,2022-23,approved,budget-fy2022-23-vol1,187,
Student Investment Account Fund (251),38000,38000,2022-23,adopted,budget-fy2022-23-vol1,187,
Dedicated Resource Fund (299),18537,18537,2018-19,actual-budgetary,budget-fy2022-23-vol1,191,requirements from PDF p192 of same doc
Dedicated Resource Fund (299),18445,18445,2019-20,actual-budgetary,budget-fy2022-23-vol1,191,
Dedicated Resource Fund (299),19508,19508,2020-21,actual-budgetary,budget-fy2022-23-vol1,191,
Dedicated Resource Fund (299),21831,21831,2021-22,adopted,budget-fy2022-23-vol1,191,
Dedicated Resource Fund (299),20999,20999,2022-23,proposed,budget-fy2022-23-vol1,191,
Dedicated Resource Fund (299),20999,20999,2022-23,approved,budget-fy2022-23-vol1,191,
Dedicated Resource Fund (299),20999,20999,2022-23,adopted,budget-fy2022-23-vol1,191,
Special Revenue Funds (200) [group total],136944,136944,2018-19,actual-budgetary,budget-fy2022-23-vol1,162,requirements from PDF p163 of same doc
Special Revenue Funds (200) [group total],137252,137252,2019-20,actual-budgetary,budget-fy2022-23-vol1,162,
Special Revenue Funds (200) [group total],155931,155931,2020-21,actual-budgetary,budget-fy2022-23-vol1,162,
Special Revenue Funds (200) [group total],303161,303161,2021-22,adopted,budget-fy2022-23-vol1,162,
Special Revenue Funds (200) [group total],305478,305478,2022-23,proposed,budget-fy2022-23-vol1,162,
Special Revenue Funds (200) [group total],311278,311278,2022-23,approved,budget-fy2022-23-vol1,162,
Special Revenue Funds (200) [group total],311278,311278,2022-23,adopted,budget-fy2022-23-vol1,162,
IT Projects Debt Service Fund (307),2708,2708,2018-19,actual-budgetary,budget-fy2022-23-vol1,208,no activity after 2018-19
PERS UAL Debt Service Fund (308),49085,49085,2018-19,actual-budgetary,budget-fy2022-23-vol1,211,
PERS UAL Debt Service Fund (308),52114,52114,2019-20,actual-budgetary,budget-fy2022-23-vol1,211,
PERS UAL Debt Service Fund (308),55604,55604,2020-21,actual-budgetary,budget-fy2022-23-vol1,211,
PERS UAL Debt Service Fund (308),58079,58079,2021-22,adopted,budget-fy2022-23-vol1,211,
PERS UAL Debt Service Fund (308),81228,81228,2022-23,proposed,budget-fy2022-23-vol1,211,
PERS UAL Debt Service Fund (308),81803,81803,2022-23,approved,budget-fy2022-23-vol1,211,
PERS UAL Debt Service Fund (308),81803,81803,2022-23,adopted,budget-fy2022-23-vol1,211,
Full Faith and Credit Debt Service Fund (320),1847,1847,2018-19,actual-budgetary,budget-fy2022-23-vol1,214,
Full Faith and Credit Debt Service Fund (320),1828,1828,2019-20,actual-budgetary,budget-fy2022-23-vol1,214,
Full Faith and Credit Debt Service Fund (320),1803,1803,2020-21,actual-budgetary,budget-fy2022-23-vol1,214,
Full Faith and Credit Debt Service Fund (320),1784,1784,2021-22,adopted,budget-fy2022-23-vol1,214,
Full Faith and Credit Debt Service Fund (320),1244,1244,2022-23,proposed,budget-fy2022-23-vol1,214,
Full Faith and Credit Debt Service Fund (320),1244,1244,2022-23,approved,budget-fy2022-23-vol1,214,
Full Faith and Credit Debt Service Fund (320),1244,1244,2022-23,adopted,budget-fy2022-23-vol1,214,
GO Bonds Debt Service Fund (350),130984,130984,2018-19,actual-budgetary,budget-fy2022-23-vol1,217,adopted reduced 4055 from approved via UEFB amendment (Attachment A p358); TSCC letter p362 flags GO bond tax estimate
GO Bonds Debt Service Fund (350),137615,137615,2019-20,actual-budgetary,budget-fy2022-23-vol1,217,
GO Bonds Debt Service Fund (350),201070,201070,2020-21,actual-budgetary,budget-fy2022-23-vol1,217,
GO Bonds Debt Service Fund (350),151100,151100,2021-22,adopted,budget-fy2022-23-vol1,217,
GO Bonds Debt Service Fund (350),163418,163418,2022-23,proposed,budget-fy2022-23-vol1,217,
GO Bonds Debt Service Fund (350),163418,163418,2022-23,approved,budget-fy2022-23-vol1,217,
GO Bonds Debt Service Fund (350),159363,159363,2022-23,adopted,budget-fy2022-23-vol1,217,
Debt Service Funds (300) [group total],184625,184625,2018-19,actual-budgetary,budget-fy2022-23-vol1,201,requirements from PDF p202 of same doc; 2019-20 resources total prints 191558 vs requirements 191557 (rounding)
Debt Service Funds (300) [group total],191558,191557,2019-20,actual-budgetary,budget-fy2022-23-vol1,201,
Debt Service Funds (300) [group total],258478,258478,2020-21,actual-budgetary,budget-fy2022-23-vol1,201,
Debt Service Funds (300) [group total],210963,210963,2021-22,adopted,budget-fy2022-23-vol1,201,
Debt Service Funds (300) [group total],245890,245890,2022-23,proposed,budget-fy2022-23-vol1,201,
Debt Service Funds (300) [group total],246465,246465,2022-23,approved,budget-fy2022-23-vol1,201,
Debt Service Funds (300) [group total],242410,242410,2022-23,adopted,budget-fy2022-23-vol1,201,
Construction Excise Fund (404),21902,21902,2018-19,actual-budgetary,budget-fy2022-23-vol1,224,2020-21 resources 14679 vs requirements 14678; requirements-by-object p225 prints 21901 for 2018-19 (rounding)
Construction Excise Fund (404),17423,17423,2019-20,actual-budgetary,budget-fy2022-23-vol1,224,
Construction Excise Fund (404),14679,14678,2020-21,actual-budgetary,budget-fy2022-23-vol1,224,
Construction Excise Fund (404),14845,14845,2021-22,adopted,budget-fy2022-23-vol1,224,
Construction Excise Fund (404),17015,17015,2022-23,proposed,budget-fy2022-23-vol1,224,
Construction Excise Fund (404),17765,17765,2022-23,approved,budget-fy2022-23-vol1,224,
Construction Excise Fund (404),17765,17765,2022-23,adopted,budget-fy2022-23-vol1,224,
IT System Project Fund (407),788,788,2018-19,actual-budgetary,budget-fy2022-23-vol1,228,no activity after 2019-20
